date_time,PM10,PM2.5
20190401,23.92,12.08
20190402,31.76,16.76
20190403,38.8,22.36
20190404,35.52,19.72
20190405,78.92,24.12
20190406,61.84,19.64
20190407,36.16,16.08
20190408,36.8,12.4
20190409,25.76,10.36
20190410,6.96,4.64
20190411,27.04,16.56
20190412,50.24,30.84
20190413,48.68,31.72
20190414,38.64,21.28
20190415,51.4,16.28
20190416,47.4,21.92
20190417,40.68,19.84
20190418,37.64,22.08
20190419,43.6,22.4
20190420,44.76,23.64
20190421,32.84,24.44
20190422,89,38.84
20190423,94.56,44.72
20190424,58.72,41.8
20190425,40.24,18.92
20190426,9.2,6.32
20190427,17.2,10.12
20190428,18.64,12.68
20190429,23.36,15.56
20190430,34.6,21.68
20190501,60.56,27.56
20190502,55.92,15.32
20190503,58.72,28.44
20190504,92.64,58.32
20190505,66.2,42.6
20190506,33.36,10
20190507,47.6,17.24
20190508,51,22.48
20190509,49.8,25
20190510,61.44,34.92
20190511,66.6,37.8
20190512,56.36,36.68
20190513,56.64,36.56
20190514,44.12,32.12
20190515,67.8,45.6
20190516,67.64,44.48
20190517,55.08,38.68
20190518,29.76,17.92
20190519,13.52,10.48
20190520,38.24,12.84
20190521,50.96,18.28
20190522,56.24,27.96
20190523,72.52,42.4
20190524,82.2,51.32
20190525,84.76,57.16
20190526,38.72,23.36
20190527,22.68,14.88
20190528,21.76,8.12
20190529,48.24,23.92
20190530,46.12,25.32
20190531,20.64,10.88
20190601,34.6,25.2
20190602,37.2,23.72
20190603,38.48,21.76
20190604,29,19.52
20190605,54.36,38.76
20190606,62.8,44.44
20190607,12.44,8.92
20190608,24.32,15.28
20190609,39.6,31.48
20190610,9.92,6.32
20190611,11.72,6.52
20190612,31.48,18.24
20190613,30.48,20
20190614,34.04,23.56
20190615,36,21.36
20190616,15.32,10.36
20190617,24.12,15.64
20190618,31.64,22.68
20190619,33.04,25.64
20190620,28.24,20.72
20190621,28.04,19.76
20190622,11.68,6.76
20190623,11.28,7.32
20190624,20.96,12.72
20190625,31.96,21.6
20190626,33.2,22.84
20190627,20.24,14.16
20190628,41.28,32.92
20190629,24.48,19.48
20190630,31.72,25
